ABC,13.74,115.48,2543137.06,296.54
LTXB,7.55,45.96,184359.40,295.61
SAVE,10.44,84.47,1050162.52,295.24
IPCC,31.19,149.40,55429.33,294.91
AZZ,8.20,67.59,199944.48,294.81
EVBG,13.88,60.08,310214.52,293.97
HRTX,7.48,42.00,885257.02,293.68
ASND,12.25,74.06,100527.38,293.31
HDB,9.05,111.45,1289853.24,293.19
TFX,38.15,287.65,271765.47,292.50
EDU,9.50,106.27,1717662.79,292.28
ENTG,0.52,38.85,964226.73,292.27
EAST,1.35,9.25,21630.17,291.79
NGVT,24.93,101.12,336569.69,291.20
PKG,9.82,129.58,976544.48,290.13
AFG,13.04,120.49,442054.70,289.89
CELG,19.00,146.52,6765600.97,288.47
SGC,2.55,28.25,15836.14,288.22
WB,9.67,139.74,1500127.60,288.19
LZB,0.60,37.45,496117.38,288.11
ITGR,15.66,77.00,188931.21,287.71
GMED,10.37,57.41,597994.43,287.63
FMI,13.71,137.00,303268.28,287.55
GTHX,12.53,58.08,193320.50,287.07
KLIC,1.14,28.52,856080.61,287.01
BC,2.01,68.77,1277706.11,286.52
NVO,8.39,60.23,1626205.78,285.66
CALM,8.63,63.14,510948.84,285.53
EHC,6.80,82.35,770316.52,283.78
CATM,0.65,55.89,337889.37,283.35
LITE,14.12,73.20,1353170.13,282.94
IMAX,2.55,43.22,822868.90,281.62
BWXT,13.26,70.94,821550.25,281.54
OLLI,15.28,80.55,633341.66,280.85
TRS,0.77,33.39,226935.05,280.74
VPG,10.49,44.50,50413.02,280.34
DXC,11.18,92.83,2716258.64,280.25
HEAR,1.72,84.56,167357.30,280.00
QTEC,9.92,82.65,110192.87,279.80
RDWR,2.49,28.14,316505.00,279.25
ATRS,0.32,5.32,903299.33,279.17
CNI,14.91,90.18,1786797.32,278.97
ADP,27.24,143.59,2778850.71,278.41
TSE,13.55,83.90,432884.53,278.02
EFX,19.79,146.26,926976.55,278.02
GGG,4.83,49.07,1062679.08,277.91
JCOM,13.74,91.17,367400.63,277.77
HRL,6.25,44.47,2079312.12,277.52
MSGN,5.29,26.25,1160620.20,277.36
ABCD,0.63,13.74,56434.78,276.44
KMX,6.23,80.19,2275250.45,276.13
UAA,1.54,52.05,6524132.25,276.04
SRI,1.51,37.15,159429.12,275.21
SNA,20.66,183.76,459691.31,275.14
NEWT,1.00,23.82,48397.55,274.72
GWR,16.74,105.51,407928.60,274.10
LKFN,9.44,52.04,69146.53,273.92
CNBKA,9.46,87.70,5880.48,273.81
